Cycle number,Reference energy [W.h],Reference power [W],n,R^2
1,18.637285899556556,83.16934587994947,2.0185206335215393,0.9965880964949478
100,18.13358524064507,84.0157901172165,1.9806899296390825,0.9969266246747434
200,17.486592239056787,82.6778908647994,1.9405540982166045,0.9970513198643434
300,16.87186770337726,81.37621505740954,1.903865284450465,0.9971245593551924
400,16.286198953278348,80.12556667286161,1.870519173233145,0.997157564993214
500,15.72696801282482,78.93562531125214,1.8403315447290427,0.9971625135488242
600,15.192000760296324,77.81280257791998,1.8130748796425846,0.9971487112779316
700,14.679450655233396,76.76101594132737,1.7885504308579767,0.9971219973633298
800,14.187731769707257,75.78263205958564,1.7665559236649073,0.9970847738818156
900,13.715489954412478,74.87818575744275,1.7468751513453018,0.9970370907469523
1000,13.26155426776234,74.04643613045128,1.7292972072929913,0.9969784506585494
